bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
77118	14	2.00	0.895	0.000	0.105	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77120	4	46.67	0.032	0.129	0.274	0.048	0.500	0.016	0.000	0.000	0.000	0.000	0.000	0.000
77151	19	1.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77175	18	5.00	0.949	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77190	4	8.00	0.800	0.000	0.150	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000
77200	8	45.67	0.000	0.373	0.025	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77212	18	5.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77244	18	62.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77249	18	4.00	0.900	0.000	0.078	0.017	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000
77273	12	39.67	0.724	0.000	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77325	19	54.67	0.800	0.000	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77327	19	39.00	0.800	0.000	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77378	4	6.00	0.360	0.120	0.080	0.000	0.000	0.440	0.000	0.000	0.000	0.000	0.000	0.000
77442	20	8.00	0.771	0.038	0.057	0.000	0.000	0.000	0.089	0.038	0.000	0.000	0.000	0.006
77537	2	8.00	0.350	0.282	0.043	0.227	0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77538	10	8.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77598	2	1.00	0.322	0.293	0.071	0.100	0.209	0.000	0.000	0.000	0.000	0.003	0.000	0.003
77641	17	10.67	0.973	0.000	0.014	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77668	16	8.00	0.862	0.000	0.086	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000
77701	17	8.00	0.148	0.444	0.074	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77703	7	7.00	0.000	0.264	0.019	0.057	0.038	0.623	0.000	0.000	0.000	0.000	0.000	0.000
77772	18	6.00	0.952	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77786	7	1.00	0.477	0.185	0.077	0.031	0.092	0.138	0.000	0.000	0.000	0.000	0.000	0.000
